State,County,Q1 2026 % Underwater,Q1 2025 % underwater,2025_pct,2026_pct,Change,Report
Tennessee,Davidson,0.026359938409211,0.0199095814496135,1.9909581449613498,2.6359938409211003,0.6450356959597505,"- **Davidson, Tennessee**: +0.6% (from 2.0% to 2.6%)"
Maryland,Anne Arundel,0.0313538323802558,0.0249058460606748,2.49058460606748,3.1353832380255797,0.6447986319580998,"- **Anne Arundel, Maryland**: +0.6% (from 2.5% to 3.1%)"
Georgia,Cherokee,0.0200735981660784,0.0136264203682323,1.3626420368232302,2.00735981660784,0.64471777978461,"- **Cherokee, Georgia**: +0.6% (from 1.4% to 2.0%)"
California,Solano,0.0246671661575701,0.0182405933289325,1.82405933289325,2.46671661575701,0.6426572828637602,"- **Solano, California**: +0.6% (from 1.8% to 2.5%)"
South Carolina,Dorchester,0.0232137785007875,0.0168150611456768,1.68150611456768,2.32137785007875,0.6398717355110701,"- **Dorchester, South Carolina**: +0.6% (from 1.7% to 2.3%)"
Tennessee,Sullivan,0.0274303130357483,0.0212088732989054,2.12088732989054,2.74303130357483,0.62214397368429,"- **Sullivan, Tennessee**: +0.6% (from 2.1% to 2.7%)"
Michigan,Jackson,0.0368336497736234,0.0306375108141165,3.0637510814116498,3.6833649773623396,0.6196138959506898,"- **Jackson, Michigan**: +0.6% (from 3.1% to 3.7%)"
South Carolina,Beaufort,0.0228990233724335,0.0167391015543451,1.67391015543451,2.2899023372433502,0.6159921818088403,"- **Beaufort, South Carolina**: +0.6% (from 1.7% to 2.3%)"
South Carolina,Richland,0.040817558431524,0.0347099960876369,3.4709996087636896,4.0817558431524,0.6107562343887101,"- **Richland, South Carolina**: +0.6% (from 3.5% to 4.1%)"
Oregon,Douglas,0.0278654770075497,0.0217646652387203,2.1764665238720298,2.78654770075497,0.6100811768829404,"- **Douglas, Oregon**: +0.6% (from 2.2% to 2.8%)"
Pennsylvania,Bucks,0.02495737744145,0.0188710834728533,1.8871083472853298,2.495737744145,0.6086293968596701,"- **Bucks, Pennsylvania**: +0.6% (from 1.9% to 2.5%)"
Texas,Bexar,0.0253910912164739,0.0193440842562541,1.93440842562541,2.5391091216473898,0.6047006960219798,"- **Bexar, Texas**: +0.6% (from 1.9% to 2.5%)"
North Carolina,Wake,0.0177734944814315,0.0117630027640026,1.1763002764002601,1.77734944814315,0.6010491717428899,"- **Wake, North Carolina**: +0.6% (from 1.2% to 1.8%)"
